Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2012,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36,.,.
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,147,17.3,22.6
2008,All Other Causes,M,White Non-Hispanic,1824,135.9,119.9
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149,12.6,15.7
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2282,217.7,194.2
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,36,5.8,6.3
2011,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,79,15,18.5
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,261,19.5,17.6
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1354,118.5,215.5
2011,All Other Causes,F,Other Race/ Ethnicity,38,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,5,.,.
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,147,17.3,18.3
2011,Septicemia (A40-A41),F,Not Stated/Unknown,.,.,.
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,208,19.9,17.9
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39,.,.
2013,All Other Causes,F,Not Stated/Unknown,79,.,.
2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14,2.8,3
2009,Alzheimer's Disease (G30),F,Black Non-Hispanic,79,7.5,6.8
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,.,.,.
2008,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,124,11.2,18.8
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168,13.8,16.7
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,213,25,33
2009,Alzheimer's Disease (G30),F,Hispanic,56,4.7,6.2
2013,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,521,36.6,21.6
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,7,.,.
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,11,.,.
2012,Aortic Aneurysm and Dissection (I71),F,Other Race/ Ethnicity,.,.,.
2013,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,15,.,.
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,235,20.6,38.9
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Not Stated/Unknown,8,.,.
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,286,33.7,33.8
2013,Alzheimer's Disease (G30),F,Not Stated/Unknown,8,.,.
2012,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,55,10.2,15.1
2012,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,540,40.3,32.3
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,259,24.7,22.2
2011,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,60,11.4,14.3
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428,83.1,115.2
2011,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,225,21.5,18.7
2014,All Other Causes,F,Black Non-Hispanic,1536,146.4,126.4
2009,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,629,43.8,23.1
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,111,.,.
2007,All Other Causes,F,White Non-Hispanic,1680,117.1,81.5
2011,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,98,17.2,20.6
2013,All Other Causes,M,Asian and Pacific Islander,395,71.3,89.8
2014,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,220,17.4,19
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,.,.,.
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,33,5.6,5.8
2012,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,29,.,.
2008,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,518,36.1,21.4
2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530,39.6,32.9
2010,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,108,20.7,31.7
2014,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,.,.,.
2014,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,399,29.7,24
2011,Parkinson's Disease (G20),F,Not Stated/Unknown,.,.,.
2010,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,707,49.4,24.8
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,22,4.3,3.9
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,.,.,.
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46,9.2,16.1
2012,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Not Stated/Unknown,8,.,.
2011,All Other Causes,M,Asian and Pacific Islander,340,64.3,85.1
2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,204,15.2,13.6
2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246,18.3,15.6
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,58,11.4,15.5
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299,35.1,35.5
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104,8.8,11.4
2010,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,414,73.6,79.9
2010,Certain Conditions originating in the Perinatal Period (P00-P96),F,Asian and Pacific Islander,18,3.2,4
2011,"Assault (Homicide: Y87.1, X85-Y09)",F,Not Stated/Unknown,.,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,46,.,.
2011,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,466,32.9,17.6
2009,Alzheimer's Disease (G30),F,Asian and Pacific Islander,14,2.5,3.6
2014,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,14,.,.
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,7,.,.
2007,All Other Causes,F,Asian and Pacific Islander,182,35.3,44.6
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.,.,.
2011,All Other Causes,F,White Non-Hispanic,2445,172.6,105.4
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,123,10.7,19.2
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163,19.1,19
2011,All Other Causes,F,Asian and Pacific Islander,278,48.7,57.4
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,12.8,15.4
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36,7.4,7.7
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,31,.,.
2013,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,25,.,.
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10,.,.
2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659,45.9,23.2
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,65,12.2,15.4
2014,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,9,.,.
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70,13.6,17.6
2011,All Other Causes,M,Other Race/ Ethnicity,27,.,.
2013,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,300,35,41.1
2014,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,266,25.3,20.6
2009,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,281,26.8,24.5
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,102,18.4,26.8
2014,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,14,.,.
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,43,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272,20.4,18.1
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146,17.2,18.1
2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,204,23.8,23.2
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,5,.,.
2007,All Other Causes,M,Black Non-Hispanic,1163,136.5,162.4
2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56,11.6,16.2
2009,All Other Causes,M,Asian and Pacific Islander,220,43.1,56.1
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,50,.,.
2012,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1125,90.8,100.5
2009,All Other Causes,M,White Non-Hispanic,1818,135.1,118.5
2009,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,6,.,.
2014,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,10,.,.
2011,All Other Causes,M,Black Non-Hispanic,1337,156.7,181.7
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,68.8,81.2
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Hispanic,132,11.9,22.8
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,52,.,.
2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Other Race/ Ethnicity,12,.,.
2010,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,245,18.3,15.6
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,70,.,.
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,7.2
2010,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,6,.,.
2009,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3346,232.9,159
2012,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,8,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,469,86.8,116.9
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,8,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,1045,85.9,98.5
2013,All Other Causes,F,White Non-Hispanic,2595,182.5,111.1
2011,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,.,.,.
2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969,83,100.7
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,199,14.9,13.6
2007,Septicemia (A40-A41),F,Hispanic,49,4.2,5.5
2011,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,70,5.7,5.7
2014,Alzheimer's Disease (G30),F,Hispanic,142,11.2,12.5
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,394,70.1,89.7
2012,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,235,27.5,27.6
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13,.,.
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722,258.6,247.3
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,.,.,.
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,75,7.2,6.7
2009,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1180,105.1,172.2
2009,All Other Causes,F,White Non-Hispanic,1684,117.2,77.2
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Black Non-Hispanic,87,8.3,7.4
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,56,4.6,4.5
2013,Diabetes Mellitus (E10-E14),M,Hispanic,192,16.3,24.9
2013,Viral Hepatitis (B15-B19),F,Asian and Pacific Islander,15,2.5,2.5
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,.,.,.
2014,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,90,8.6,7.1
2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164,14,18.3
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4507,318,161
2009,All Other Causes,F,Black Non-Hispanic,1305,124.6,117.3
2011,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,51,8.9,10.7
2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163,15.5,14.8
2014,"Essential Hypertension and Renal Diseases (I10, I12)",M,Not Stated/Unknown,9,.,.
2013,Alzheimer's Disease (G30),M,Other Race/ Ethnicity,.,.,.
2011,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,83,14.5,17.8
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,.,.
2008,All Other Causes,M,Other Race/ Ethnicity,8,.,.
2013,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,93,8.9,7.6
2012,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,70,13,17.5
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Other Race/ Ethnicity,5,.,.
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,136,13,11.6
2012,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,9,.,.
2013,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,72,13,18.5
2011,All Other Causes,M,White Non-Hispanic,2165,162.3,139.5
2012,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,8,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39,.,.
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,7,.,.
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,99,.,.
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,43,7.5,8.5
2013,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,271,25.9,21.7
2010,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,.,.,.
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,266,31.2,31.5
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Other Race/ Ethnicity,.,.,.
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Not Stated/Unknown,.,.,.
2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11,.,.
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272,20.3,18.4
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,227,16.9,15.5
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2015,236.7,307.7
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,.,.,.
2010,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1768,168.6,151.8
2013,All Other Causes,M,Other Race/ Ethnicity,42,.,.
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,16,.,.
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,402,70.5,86.1
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,.,.,.
2007,All Other Causes,M,Not Stated/Unknown,43,.,.
2011,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,200,23.4,29.1
2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63,5.3,6.2
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227,19.2,25.5
2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,172,15.6,16.3
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,193,15.2,16.8
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.,.,.
2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380,36.3,34.3
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,13.2,16.8
